NIH,ChestX-ray14,scan,mask
NIH_0010,00009863_008.png,images/NIH_0010.png,masks/NIH_0010_mask.png
NIH_0017,00003028_078.png,images/NIH_0017.png,masks/NIH_0017_mask.png
NIH_0065,00012045_005.png,images/NIH_0065.png,masks/NIH_0065_mask.png
NIH_0019,00029481_008.png,images/NIH_0019.png,masks/NIH_0019_mask.png
NIH_0062,00010805_040.png,images/NIH_0062.png,masks/NIH_0062_mask.png
NIH_0057,00011950_019.png,images/NIH_0057.png,masks/NIH_0057_mask.png
NIH_0086,00004648_001.png,images/NIH_0086.png,masks/NIH_0086_mask.png
NIH_0050,00019499_006.png,images/NIH_0050.png,masks/NIH_0050_mask.png
NIH_0081,00022572_048.png,images/NIH_0081.png,masks/NIH_0081_mask.png
NIH_0022,00014398_023.png,images/NIH_0022.png,masks/NIH_0022_mask.png
NIH_0025,00017753_003.png,images/NIH_0025.png,masks/NIH_0025_mask.png
NIH_0059,00020289_004.png,images/NIH_0059.png,masks/NIH_0059_mask.png
NIH_0088,00004832_025.png,images/NIH_0088.png,masks/NIH_0088_mask.png
NIH_0034,00009863_038.png,images/NIH_0034.png,masks/NIH_0034_mask.png
NIH_0099,00018840_034.png,images/NIH_0099.png,masks/NIH_0099_mask.png
NIH_0048,00018984_001.png,images/NIH_0048.png,masks/NIH_0048_mask.png
NIH_0033,00009863_020.png,images/NIH_0033.png,masks/NIH_0033_mask.png
NIH_0090,00009218_026.png,images/NIH_0090.png,masks/NIH_0090_mask.png
NIH_0041,00010315_006.png,images/NIH_0041.png,masks/NIH_0041_mask.png
NIH_0097,00018610_041.png,images/NIH_0097.png,masks/NIH_0097_mask.png
NIH_0046,00007444_004.png,images/NIH_0046.png,masks/NIH_0046_mask.png
NIH_0073,00002227_003.png,images/NIH_0073.png,masks/NIH_0073_mask.png
NIH_0074,00003538_000.png,images/NIH_0074.png,masks/NIH_0074_mask.png
NIH_0008,00010007_157.png,images/NIH_0008.png,masks/NIH_0008_mask.png
NIH_0006,00014004_048.png,images/NIH_0006.png,masks/NIH_0006_mask.png
NIH_0001,00005502_010.png,images/NIH_0001.png,masks/NIH_0001_mask.png
NIH_0024,00027441_015.png,images/NIH_0024.png,masks/NIH_0024_mask.png
NIH_0100,00008943_002.png,images/NIH_0100.png,masks/NIH_0100_mask.png
NIH_0058,00017470_004.png,images/NIH_0058.png,masks/NIH_0058_mask.png
NIH_0089,00008237_002.png,images/NIH_0089.png,masks/NIH_0089_mask.png
NIH_0023,00001483_013.png,images/NIH_0023.png,masks/NIH_0023_mask.png
NIH_0051,00013922_028.png,images/NIH_0051.png,masks/NIH_0051_mask.png
NIH_0080,00022034_002.png,images/NIH_0080.png,masks/NIH_0080_mask.png
NIH_0056,00004832_031.png,images/NIH_0056.png,masks/NIH_0056_mask.png
NIH_0087,00021449_002.png,images/NIH_0087.png,masks/NIH_0087_mask.png
NIH_0063,00029855_001.png,images/NIH_0063.png,masks/NIH_0063_mask.png
NIH_0064,00005593_011.png,images/NIH_0064.png,masks/NIH_0064_mask.png
NIH_0018,00021154_005.png,images/NIH_0018.png,masks/NIH_0018_mask.png
